set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Genetic Apex,A1,2024-10-30,226,Mewtwo,Bulbasaur,1,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Ivysaur,2,Two Diamond,Grass,Stage1,Bulbasaur,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venusaur,3,Three Diamond,Grass,Stage2,Ivysaur,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venusaur ex,4,Four Diamond,Grass,Stage2,Ivysaur,Yes
Genetic Apex,A1,2024-10-30,226,Pikachu,Caterpie,5,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Metapod,6,One Diamond,Grass,Stage1,Caterpie,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Butterfree,7,Three Diamond,Grass,Stage2,Metapod,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Weedle,8,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Kakuna,9,One Diamond,Grass,Stage1,Weedle,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Beedrill,10,Three Diamond,Grass,Stage2,Kakuna,No
Genetic Apex,A1,2024-10-30,226,Charizard,Oddish,11,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Charizard,Gloom,12,Two Diamond,Grass,Stage1,Oddish,No
Genetic Apex,A1,2024-10-30,226,Charizard,Vileplume,13,Three Diamond,Grass,Stage2,Gloom,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Paras,14,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Parasect,15,Two Diamond,Grass,Stage1,Paras,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venonat,16,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venomoth,17,Two Diamond,Grass,Stage1,Venonat,No
Genetic Apex,A1,2024-10-30,226,Charizard,Bellsprout,18,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Charizard,Weepinbell,19,Two Diamond,Grass,Stage1,Bellsprout,No
Genetic Apex,A1,2024-10-30,226,Charizard,Victreebel,20,Three Diamond,Grass,Stage2,Weepinbell,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggcute,21,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggutor,22,Three Diamond,Grass,Stage1,Exeggcute,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggutor ex,23,Four Diamond,Grass,Stage1,Exeggcute,Yes
Genetic Apex,A1,2024-10-30,226,Charizard,Tangela,24,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Scyther,25,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Pinsir,26,Two Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Cottonee,27,One Diamond,Grass,Basic,,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Whimsicott,28,Two Diamond,Grass,Stage1,Cottonee,No
