set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Genetic Apex,A1,2024-10-30,226,Mewtwo,Bulbasaur,001,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Ivysaur,002,Two Diamond,Grass,Stage1,Bulbasaur,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venusaur,003,Three Diamond,Grass,Stage2,Ivysaur,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venusaur ex,004,Four Diamond,Grass,Stage2,Ivysaur,Yes
Genetic Apex,A1,2024-10-30,226,Pikachu,Caterpie,005,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Metapod,006,One Diamond,Grass,Stage1,Caterpie,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Butterfree,007,Three Diamond,Grass,Stage2,Metapod,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Weedle,008,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Kakuna,009,One Diamond,Grass,Stage1,Weedle,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Beedrill,010,Three Diamond,Grass,Stage2,Kakuna,No
Genetic Apex,A1,2024-10-30,226,Charizard,Oddish,011,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Gloom,012,Two Diamond,Grass,Stage1,Oddish,No
Genetic Apex,A1,2024-10-30,226,Charizard,Vileplume,013,Three Diamond,Grass,Stage2,Gloom,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Paras,014,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Parasect,015,Two Diamond,Grass,Stage1,Paras,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venonat,016,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Venomoth,017,Two Diamond,Grass,Stage1,Venonat,No
Genetic Apex,A1,2024-10-30,226,Charizard,Bellsprout,018,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Weepinbell,019,Two Diamond,Grass,Stage1,Bellsprout,No
Genetic Apex,A1,2024-10-30,226,Charizard,Victreebel,020,Three Diamond,Grass,Stage2,Weepinbell,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggcute,021,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggutor,022,Three Diamond,Grass,Stage1,Exeggcute,No
Genetic Apex,A1,2024-10-30,226,Charizard,Exeggutor ex,023,Four Diamond,Grass,Stage1,Exeggcute,Yes
Genetic Apex,A1,2024-10-30,226,Charizard,Tangela,024,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Scyther,025,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Pinsir,026,Two Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Cottonee,027,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Whimsicott,028,Two Diamond,Grass,Stage1,Cottonee,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Petilil,029,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Lilligant,030,Two Diamond,Grass,Stage1,Petilil,No
Genetic Apex,A1,2024-10-30,226,Charizard,Skiddo,031,One Diamond,Grass,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Gogoat,032,One Diamond,Grass,Stage1,Skiddo,No
Genetic Apex,A1,2024-10-30,226,Charizard,Charmander,033,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Charmeleon,034,Two Diamond,Fire,Stage1,Charmander,No
Genetic Apex,A1,2024-10-30,226,Charizard,Charizard,035,Three Diamond,Fire,Stage2,Charmeleon,No
Genetic Apex,A1,2024-10-30,226,Charizard,Charizard ex,036,Four Diamond,Fire,Stage2,Charmeleon,Yes
Genetic Apex,A1,2024-10-30,226,Charizard,Vulpix,037,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Ninetales,038,Two Diamond,Fire,Stage1,Vulpix,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Growlithe,039,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Arcanine,040,Three Diamond,Fire,Stage1,Growlithe,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Arcanine ex,041,Four Diamond,Fire,Stage1,Growlithe,Yes
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Ponyta,042,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Rapidash,043,Two Diamond,Fire,Stage1,Ponyta,No
Genetic Apex,A1,2024-10-30,226,Charizard,Magmar,044,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Flareon,045,Three Diamond,Fire,Stage1,Eevee,No
Genetic Apex,A1,2024-10-30,226,Charizard,Moltres,046,Three Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Moltres ex,047,Four Diamond,Fire,Basic,N/A,Yes
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Heatmor,048,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Salandit,049,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Salazzle,050,One Diamond,Fire,Stage1,Salandit,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Sizzlipede,051,One Diamond,Fire,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Centiskorch,052,Two Diamond,Fire,Stage1,Sizzlipede,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Squirtle,053,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Wartortle,054,Two Diamond,Water,Stage1,Squirtle,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Blastoise,055,Three Diamond,Water,Stage2,Wartortle,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Blastoise ex,056,Four Diamond,Water,Stage2,Wartortle,Yes
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Psyduck,057,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,"Mewtwo, Charizard, Pikachu",Golduck,058,Two Diamond,Water,Stage1,Psyduck,No
Genetic Apex,A1,2024-10-30,226,Charizard,Poliwag,059,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Poliwhirl,060,Two Diamond,Water,Stage1,Poliwag,No
Genetic Apex,A1,2024-10-30,226,Charizard,Poliwrath,061,Three Diamond,Water,Stage2,Poliwhirl,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Tentacool,062,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Tentacruel,063,Two Diamond,Water,Stage1,Tentacool,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Seel,064,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Dewgong,065,Two Diamond,Water,Stage1,Seel,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Shellder,066,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Cloyster,067,Two Diamond,Water,Stage1,Shellder,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Krabby,068,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Mewtwo,Kingler,069,Two Diamond,Water,Stage1,Krabby,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Horsea,070,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Seadra,071,Two Diamond,Water,Stage1,Horsea,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Goldeen,072,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Pikachu,Seaking,073,One Diamond,Water,Stage1,Goldeen,No
Genetic Apex,A1,2024-10-30,226,Charizard,Staryu,074,One Diamond,Water,Basic,N/A,No
Genetic Apex,A1,2024-10-30,226,Charizard,Starmie,075,Two Diamond,Water,Stage1,Staryu,No
