set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Mythical Island,A1a,2024-12-17,68,Mythical Island,Exeggcute,001,One Diamond,Grass,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Exeggutor,002,Two Diamond,Grass,Stage1,Exeggcute,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Celebi ex,003,Four Diamond,Grass,Basic,N/A,Yes
Mythical Island,A1a,2024-12-17,68,Mythical Island,Snivy,004,One Diamond,Grass,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Servine,005,Two Diamond,Grass,Stage1,Snivy,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Serperior,006,Three Diamond,Grass,Stage2,Servine,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Morelull,007,One Diamond,Grass,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Shiinotic,008,Two Diamond,Grass,Stage1,Morelull,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Dhelmise,009,Two Diamond,Grass,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Ponyta,010,One Diamond,Fire,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Rapidash,011,Two Diamond,Fire,Stage1,Ponyta,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Magmar,012,Two Diamond,Fire,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Larvesta,013,One Diamond,Fire,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Volcarona,014,Three Diamond,Fire,Stage1,Larvesta,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Salandit,015,One Diamond,Fire,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Salazzle,016,One Diamond,Fire,Stage1,Salandit,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Magikarp,017,One Diamond,Water,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Gyarados ex,018,Four Diamond,Water,Stage1,Magikarp,Yes
Mythical Island,A1a,2024-12-17,68,Mythical Island,Vaporeon,019,Three Diamond,Water,Stage1,Eevee,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Finneon,020,One Diamond,Water,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Lumineon,021,Two Diamond,Water,Stage1,Finneon,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Chewtle,022,One Diamond,Water,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Drednaw,023,Two Diamond,Water,Stage1,Chewtle,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Cramorant,024,One Diamond,Water,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Pikachu,025,One Diamond,Lightning,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Raichu,026,Three Diamond,Lightning,Stage1,Pikachu,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Electabuzz,027,Two Diamond,Lightning,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Joltik,028,One Diamond,Lightning,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Galvantula,029,Two Diamond,Lightning,Stage1,Joltik,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Dedenne,030,One Diamond,Lightning,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Mew,031,Three Diamond,Psychic,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Mew ex,032,Four Diamond,Psychic,Basic,N/A,Yes
Mythical Island,A1a,2024-12-17,68,Mythical Island,Sigilyph,033,Two Diamond,Psychic,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Elgyem,034,One Diamond,Psychic,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Beheeyem,035,Two Diamond,Psychic,Stage1,Elgyem,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Flabébé,036,One Diamond,Psychic,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Floette,037,One Diamond,Psychic,Stage1,Flabébé,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Florges,038,Two Diamond,Psychic,Stage2,Floette,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Swirlix,039,One Diamond,Psychic,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Slurpuff,040,One Diamond,Psychic,Stage1,Swirlix,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Mankey,041,One Diamond,Fighting,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Primeape,042,One Diamond,Fighting,Stage1,Mankey,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Geodude,043,One Diamond,Fighting,Basic,N/A,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Graveler,044,Two Diamond,Fighting,Stage1,Geodude,No
Mythical Island,A1a,2024-12-17,68,Mythical Island,Golem,045,Three Diamond,Fighting,Stage2,Graveler,No
