set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Heracross,001,Two Diamond,Grass,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Burmy,002,One Diamond,Grass,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Mothim,003,Two Diamond,Grass,Stage1,Burmy,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Combee,004,One Diamond,Grass,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Vespiquen,005,Two Diamond,Grass,Stage1,Combee,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Cherubi,006,One Diamond,Grass,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Cherrim,007,Two Diamond,Grass,Stage1,Cherubi,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Cherrim,008,Two Diamond,Grass,Stage1,Cherubi,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Carnivine,009,Three Diamond,Grass,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Leafeon ex,010,Four Diamond,Grass,Stage1,Eevee,Yes
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Houndour,011,One Diamond,Fire,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Houndoom,012,Two Diamond,Fire,Stage1,Houndour,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Heatran,013,Three Diamond,Fire,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Marill,014,One Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Azumarill,015,One Diamond,Water,Stage1,Marill,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Barboach,016,One Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Whiscash,017,Two Diamond,Water,Stage1,Barboach,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Snorunt,018,One Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Froslass,019,Two Diamond,Water,Stage1,Snorunt,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Snover,020,One Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Abomasnow,021,Three Diamond,Water,Stage1,Snover,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Glaceon ex,022,Four Diamond,Water,Stage1,Eevee,Yes
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Origin Forme Palkia,023,Three Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Phione,024,Two Diamond,Water,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Pikachu,025,One Diamond,Lightning,Basic,N/A,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Raichu,026,Three Diamond,Lightning,Stage1,Pikachu,No
Triumphant Light,A2a,2025-02-28,75,Triumphant Light,Electrike,027,One Diamond,Lightning,Basic,N/A,No
