set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Weedle,001,One Diamond,Grass,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Kakuna,002,Two Diamond,Grass,Stage1,Weedle,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Beedrill ex,003,Four Diamond,Grass,Stage2,Kakuna,Yes
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pinsir,004,One Diamond,Grass,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Sprigatito,005,One Diamond,Grass,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Floragato,006,Two Diamond,Grass,Stage1,Sprigatito,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Meowscarada,007,Three Diamond,Grass,Stage2,Floragato,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Charmander,008,One Diamond,Fire,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Charmeleon,009,Two Diamond,Fire,Stage1,Charmander,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Charizard ex,010,Four Diamond,Fire,Stage2,Charmeleon,Yes
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Magmar,011,One Diamond,Fire,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Magmortar,012,Three Diamond,Fire,Stage1,Magmar,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Paldean Tauros,013,Two Diamond,Fire,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Tentacool,014,One Diamond,Water,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Tentacruel,015,Two Diamond,Water,Stage1,Tentacool,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Buizel,016,One Diamond,Water,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Floatzel,017,Two Diamond,Water,Stage1,Buizel,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Wiglett,018,One Diamond,Water,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Wugtrio ex,019,Four Diamond,Water,Stage1,Wiglett,Yes
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Dondozo,020,Three Diamond,Water,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Tatsugiri,021,Two Diamond,Water,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pikachu ex,022,Four Diamond,Lightning,Basic,N/A,Yes
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Voltorb,023,One Diamond,Lightning,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Electrode,024,Two Diamond,Lightning,Stage1,Voltorb,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pachirisu,025,Two Diamond,Lightning,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pawmi,026,One Diamond,Lightning,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pawmo,027,Two Diamond,Lightning,Stage1,Pawmi,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Pawmot,028,Three Diamond,Lightning,Stage2,Pawmo,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Abra,029,One Diamond,Psychic,Basic,N/A,No
Shining Revelry,A2b,2025-03-27,72,Shining Revelry,Kadabra,030,Two Diamond,Psychic,Stage1,Abra,No
