set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Celestial Guardians,A3,2025-04-30,155,Lunala,Exeggcute,001,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Alolan Exeggutor,002,Three Diamond,Grass,Stage1,Exeggcute,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Surskit,003,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Masquerain,004,Two Diamond,Grass,Stage1,Surskit,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Maractus,005,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Karrablast,006,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Phantump,007,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Trevenant,008,Two Diamond,Grass,Stage1,Phantump,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Rowlet,009,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Rowlet,010,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Dartrix,011,Two Diamond,Grass,Stage1,Rowlet,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Decidueye ex,012,Four Diamond,Grass,Stage2,Dartrix,Yes
Celestial Guardians,A3,2025-04-30,155,Lunala,Grubbin,013,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Fomantis,014,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Lurantis,015,Two Diamond,Grass,Stage1,Fomantis,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Morelull,016,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Shiinotic,017,Two Diamond,Grass,Stage1,Morelull,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Bounsweet,018,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Steenee,019,Two Diamond,Grass,Stage1,Bounsweet,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Tsareena,020,Three Diamond,Grass,Stage2,Steenee,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Wimpod,021,One Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Golisopod,022,Three Diamond,Grass,Stage1,Wimpod,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Dhelmise ex,023,Four Diamond,Grass,Basic,N/A,Yes
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Tapu Bulu,024,Three Diamond,Grass,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Growlithe,025,One Diamond,Fire,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,"Solgaleo, Lunala",Arcanine,026,Two Diamond,Fire,Stage1,Growlithe,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Alolan Marowak,027,Two Diamond,Fire,Stage1,Cubone,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Fletchinder,028,One Diamond,Fire,Stage1,Fletchling,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Talonflame,029,Three Diamond,Fire,Stage2,Fletchinder,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Litten,030,One Diamond,Fire,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Lunala,Litten,031,One Diamond,Fire,Basic,N/A,No
Celestial Guardians,A3,2025-04-30,155,Solgaleo,Torracat,032,Two Diamond,Fire,Stage1,Litten,No
