set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Petilil,001,One Diamond,Grass,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Lilligant,002,One Diamond,Grass,Stage1,Petilil,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Rowlet,003,One Diamond,Grass,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Dartrix,004,Two Diamond,Grass,Stage1,Rowlet,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Decidueye,005,Three Diamond,Grass,Stage2,Dartrix,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Buzzwole ex,006,Four Diamond,Grass,Basic,N/A,Yes
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Pheromosa,007,Two Diamond,Grass,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Kartana,008,One Diamond,Grass,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Blacephalon,009,Two Diamond,Fire,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Mantine,010,One Diamond,Water,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Carvanha,011,One Diamond,Water,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Sharpedo,012,Two Diamond,Water,Stage1,Carvanha,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Shinx,013,One Diamond,Lightning,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Luxio,014,One Diamond,Lightning,Stage1,Shinx,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Luxray,015,Three Diamond,Lightning,Stage2,Luxio,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Blitzle,016,One Diamond,Lightning,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Zebstrika,017,One Diamond,Lightning,Stage1,Blitzle,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Emolga,018,One Diamond,Lightning,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Tapu Koko ex,019,Four Diamond,Lightning,Basic,N/A,Yes
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Xurkitree,020,Two Diamond,Lightning,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Zeraora,021,Three Diamond,Lightning,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Clefairy,022,One Diamond,Psychic,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Clefable,023,Two Diamond,Psychic,Stage1,Clefairy,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Phantump,024,One Diamond,Psychic,Basic,N/A,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Trevenant,025,One Diamond,Psychic,Stage1,Phantump,No
Extradimensional Crisis,A3a,2025-05-29,69,Extradimensional Crisis,Morelull,026,One Diamond,Psychic,Basic,N/A,No
