set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Tropius,001,Two Diamond,Grass,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Leafeon,002,Three Diamond,Grass,Stage1,Eevee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Bounsweet,003,One Diamond,Grass,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Steenee,004,One Diamond,Grass,Stage1,Bounsweet,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Tsareena,005,Two Diamond,Grass,Stage2,Steenee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Applin,006,One Diamond,Grass,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Appletun,007,Two Diamond,Grass,Stage1,Applin,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Flareon,008,Three Diamond,Fire,Stage1,Eevee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Flareon ex,009,Four Diamond,Fire,Stage1,Eevee,Yes
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Torkoal,010,One Diamond,Fire,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Litten,011,One Diamond,Fire,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Torracat,012,One Diamond,Fire,Stage1,Litten,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Incineroar,013,Two Diamond,Fire,Stage2,Torracat,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Salandit,014,One Diamond,Fire,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Salazzle,015,Two Diamond,Fire,Stage1,Salandit,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Vaporeon,016,Three Diamond,Water,Stage1,Eevee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Glaceon,017,Three Diamond,Water,Stage1,Eevee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Vanillite,018,One Diamond,Water,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Vanillish,019,One Diamond,Water,Stage1,Vanillite,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Vanilluxe,020,Two Diamond,Water,Stage2,Vanillish,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Alomomola,021,One Diamond,Water,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Popplio,022,One Diamond,Water,Basic,N/A,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Brionne,023,One Diamond,Water,Stage1,Popplio,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Primarina ex,024,Four Diamond,Water,Stage2,Brionne,Yes
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Jolteon,025,Three Diamond,Lightning,Stage1,Eevee,No
Eevee Grove,A3b,2025-06-26,69,Eevee Grove,Joltik,026,One Diamond,Lightning,Basic,N/A,No
