set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Oddish,001,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Gloom,002,Two Diamond,Grass,Stage1,Oddish,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Bellossom,003,Three Diamond,Grass,Stage2,Gloom,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Tangela,004,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Tangrowth,005,Three Diamond,Grass,Stage1,Tangela,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Scyther,006,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Pinsir,007,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Chikorita,008,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Bayleef,009,Two Diamond,Grass,Stage1,Chikorita,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Meganium,010,Three Diamond,Grass,Stage2,Bayleef,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Ledyba,011,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Ledian,012,One Diamond,Grass,Stage1,Ledyba,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Hoppip,013,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Skiploom,014,Two Diamond,Grass,Stage1,Hoppip,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Jumpluff,015,Three Diamond,Grass,Stage2,Skiploom,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Sunkern,016,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Sunflora,017,Two Diamond,Grass,Stage1,Sunkern,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Yanma,018,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Yanmega,019,Two Diamond,Grass,Stage1,Yanma,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Pineco,020,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Shuckle ex,021,Four Diamond,Grass,Basic,N/A,Yes
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Heracross,022,Three Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Cherubi,023,One Diamond,Grass,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Cherrim,024,Two Diamond,Grass,Stage1,Cherubi,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Vulpix,025,One Diamond,Fire,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Ninetales,026,Three Diamond,Fire,Stage1,Vulpix,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Cyndaquil,027,One Diamond,Fire,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Quilava,028,Two Diamond,Fire,Stage1,Cyndaquil,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Lugia,Typhlosion,029,Three Diamond,Fire,Stage2,Quilava,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Slugma,030,One Diamond,Fire,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Magcargo,031,Two Diamond,Fire,Stage1,Slugma,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Magby,032,Three Diamond,Fire,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Entei,033,Three Diamond,Fire,Basic,N/A,No
Wisdom of Sea and Sky,A4,2025-07-30,161,Ho-Oh,Ho-Oh ex,034,Four Diamond,Fire,Basic,N/A,Yes
Wisdom of Sea and Sky,A4,2025-07-30,161,"Lugia, Ho-Oh",Darumaka,035,One Diamond,Fire,Basic,N/A,No
