set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Hoppip,001,One Diamond,Grass,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Skiploom,002,Two Diamond,Grass,Stage1,Hoppip,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Jumpluff ex,003,Four Diamond,Grass,Stage2,Skiploom,Yes
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Sunkern,004,One Diamond,Grass,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Sunflora,005,Two Diamond,Grass,Stage1,Sunkern,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Celebi,006,Three Diamond,Grass,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Durant,007,One Diamond,Grass,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Slugma,008,One Diamond,Fire,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Magcargo,009,Two Diamond,Fire,Stage1,Slugma,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Entei ex,010,Four Diamond,Fire,Basic,N/A,Yes
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Fletchinder,011,One Diamond,Fire,Stage1,Fletchling,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Talonflame,012,Two Diamond,Fire,Stage2,Fletchinder,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Poliwag,013,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Poliwhirl,014,Two Diamond,Water,Stage1,Poliwag,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Tentacool,015,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Tentacruel,016,Two Diamond,Water,Stage1,Tentacool,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Slowpoke,017,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Slowking,018,Two Diamond,Water,Stage1,Slowpoke,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Jynx,019,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Suicune ex,020,Four Diamond,Water,Basic,N/A,Yes
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Feebas,021,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Milotic,022,Three Diamond,Water,Stage1,Feebas,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Mantyke,023,Three Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Cryogonal,024,One Diamond,Water,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Raikou ex,025,Four Diamond,Lightning,Basic,N/A,Yes
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Tynamo,026,One Diamond,Lightning,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Eelektrik,027,One Diamond,Lightning,Stage1,Tynamo,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Eelektross,028,Two Diamond,Lightning,Stage2,Eelektrik,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Stunfisk,029,One Diamond,Lightning,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Yamper,030,One Diamond,Lightning,Basic,N/A,No
Secluded Springs,A4a,2025-08-28,71,Suicune themed booster pack,Boltund,031,Three Diamond,Lightning,Stage1,Yamper,No
