set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Potion,001,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",X Speed,002,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Hand Scope,003,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Pokédex,004,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Poké Ball,005,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Red Card,006,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Professor's Research,007,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Pokédex,008,None,Trainer,N/A,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Pikachu,009,None,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Mewtwo,010,None,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Chansey,011,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Meowth,012,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 1,Butterfree,013,None,Grass,Stage2,Metapod,No
Promos-A,P-A,2024-10-30,100,Vol. 1,Lapras ex,014,None,Water,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,Vol. 1,Pikachu,015,None,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 1,Clefairy,016,None,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 1,Mankey,017,None,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 2,Venusaur,018,None,Grass,Stage2,Ivysaur,No
Promos-A,P-A,2024-10-30,100,Vol. 2,Greninja,019,None,Water,Stage2,Frogadier,No
Promos-A,P-A,2024-10-30,100,Vol. 2,Haunter,020,None,Psychic,Stage1,Gastly,No
Promos-A,P-A,2024-10-30,100,Vol. 2,Onix,021,None,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 2,Jigglypuff,022,None,Colorless,Basic,N/A,No
